vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
0,0,0,0,0,2425.636015,VS1rightbutton,0,1,4,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
1,0,1,1,1,2429.248579,VS1rightbutton,0,1,4,2,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
2,0,2,2,2,2433.600219,VS1rightbutton,0,1,4,2,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
3,0,3,3,3,2436.032444,VS1rightbutton,0,1,3,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
4,0,4,4,4,2441.963373,VS1rightbutton,0,1,4,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
5,0,5,5,5,2444.533474,VS1leftbutton,1,0,2,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
6,0,6,6,6,2449.833013,VS1rightbutton,0,1,3,2,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
7,0,7,7,7,2452.718493,VS1rightbutton,0,1,2,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
8,0,8,8,8,2455.25122,VS1rightbutton,0,1,4,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
9,0,9,9,9,2457.368761,VS1rightbutton,0,1,2,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
10,0,10,10,10,2459.334591,VS1leftbutton,1,0,2,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
11,0,11,11,11,2461.499721,VS1leftbutton,1,0,1,2,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
12,0,12,12,12,2463.533727,VS1rightbutton,0,1,4,1,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
13,0,13,13,13,2465.736167,VS1leftbutton,1,0,3,4,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
14,0,14,14,14,2469.633916,VS1leftbutton,1,0,1,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
15,0,15,15,15,2471.734341,VS1leftbutton,1,0,2,4,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
16,0,16,16,16,2473.963428,VS1leftbutton,1,0,1,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
17,0,17,17,17,2476.40408,VS1rightbutton,0,1,4,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
