Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
0,0,0,0,0,1348.250755487632,EDleftbutton,1,0,1.00,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
1,0,1,1,1,1378.4993298455793,EDrightbutton,0,1,0.50,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
2,0,2,2,2,1382.7451693703824,EDrightbutton,0,1,0.75,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
3,0,3,3,3,1397.9726433277137,EDrightbutton,0,1,0.88,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
4,0,4,4,4,1408.4165203811644,EDleftbutton,1,0,0.94,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
5,0,5,5,5,1410.5536678523495,EDleftbutton,1,0,0.91,2.00,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
0,0,0,0,0,1414.1204869639096,EDrightbutton,0,1,1.00,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
1,0,1,1,1,1426.5847551257666,EDrightbutton,0,1,1.50,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
2,0,2,2,2,1430.215955577969,EDleftbutton,1,0,1.75,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
3,0,3,3,3,1432.1553673947583,EDrightbutton,0,1,1.62,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
4,0,4,4,4,1438.482061740182,EDleftbutton,1,0,1.68,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
5,0,5,5,5,1441.132268079733,EDleftbutton,1,0,1.65,2.00,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
0,0,0,0,0,1447.0654797651223,EDleftbutton,1,0,2.00,1.00,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
1,0,1,1,1,1456.6465219338425,EDleftbutton,1,0,2.00,1.50,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
2,0,2,2,2,1460.7438605000916,EDleftbutton,1,0,2.00,1.75,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
3,0,3,3,3,1466.41092496067,EDleftbutton,1,0,2.00,1.88,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
4,0,4,4,4,1469.9697692666996,EDleftbutton,1,0,2.00,1.94,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
5,0,5,5,5,1475.5586248777745,EDleftbutton,1,0,2.00,1.97,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
