Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
0,0,0,0,0,1230.2539092112565,EDrightbutton,0,1,1.00,1.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,0,1,1,1,1246.8679541087477,EDleftbutton,1,0,2.00,1.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
2,0,2,2,2,1249.145428461372,EDleftbutton,1,0,2.00,1.50,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
3,0,3,3,3,1263.434123500483,EDrightbutton,0,1,2.00,1.75,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
4,0,4,4,4,1269.695703083882,EDleftbutton,1,0,2.00,1.62,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
5,0,5,5,5,1271.0619635190815,EDleftbutton,1,0,2.00,1.69,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
6,0,6,6,6,1273.7101593776606,EDleftbutton,1,0,2.00,1.72,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
0,0,0,0,0,1275.1362804758828,EDleftbutton,1,0,1.00,1.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,0,1,1,1,1282.2608738193521,EDrightbutton,0,1,1.00,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
2,0,2,2,2,1286.5103245264618,EDleftbutton,1,0,1.50,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
3,0,3,3,3,1287.3433542208513,EDrightbutton,0,1,1.25,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
4,0,4,4,4,1289.017432693392,EDleftbutton,1,0,1.38,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
5,0,5,5,5,1293.5603529333603,EDleftbutton,1,0,1.31,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
6,0,6,6,6,1294.076875993167,EDleftbutton,1,0,1.28,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
0,0,0,0,0,1295.568418854382,EDleftbutton,1,0,1.00,1.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
1,0,1,1,1,1303.4936893464765,EDleftbutton,1,0,1.00,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
2,0,2,2,2,1311.560275940923,EDrightbutton,0,1,0.50,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
3,0,3,3,3,1312.410230499343,EDrightbutton,0,1,0.75,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
4,0,4,4,4,1313.8102299860911,EDrightbutton,0,1,0.88,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
5,0,5,5,5,1314.2649791206932,EDrightbutton,0,1,0.94,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
6,0,6,6,6,1314.7104131318629,EDrightbutton,0,1,0.97,2.00,G24T03,2021_Oct_26_1026,ER,2021.1.4,60.02374230302844,
